Analyzer,Accuracy,Precision,Recall,Fscore
closure_compiler+npm_cg,0.46,0.45,0.14,0.16
closure_compiler+npm_cg+tajs,0.46,0.45,0.14,0.16
closure_compiler+npm_cg+tajs+acg,0.64,0.61,0.65,0.60
closure_compiler+npm_cg+acg,0.64,0.61,0.65,0.60
closure_compiler+tajs,0.46,0.45,0.14,0.16
closure_compiler+tajs+acg,0.64,0.61,0.65,0.60
closure_compiler+acg,0.64,0.61,0.65,0.60
wala,0.44,0.44,0.01,0.01
wala+npm_cg,0.44,0.44,0.01,0.01
wala+npm_cg+tajs,0.44,0.44,0.01,0.01
wala+npm_cg+tajs+acg,0.63,0.60,0.60,0.56
wala+npm_cg+acg,0.63,0.60,0.60,0.56
wala+tajs,0.44,0.44,0.01,0.01
wala+tajs+acg,0.63,0.60,0.60,0.56
wala+acg,0.63,0.60,0.60,0.56
npm_cg,0.44,0.44,0.01,0.01
npm_cg+tajs,0.44,0.44,0.01,0.01
npm_cg+tajs+acg,0.63,0.60,0.60,0.56
npm_cg+acg,0.63,0.60,0.60,0.56
tajs,0.44,0.44,0.01,0.01
tajs+acg,0.63,0.60,0.60,0.56
acg,0.63,0.60,0.60,0.56
